index,transfer_id,amount_clp,status,final_status,comment,created_at,error
48,tr_39SStjNzG3cgPhB4koVmAiRLB8r,7000000,pending,succeeded,"Pago 48/72 ref:a8ee75f0",N/A,""
49,tr_39SStuysX7O4oRRblAycKX7s7xL,7000000,pending,succeeded,"Pago 49/72 ref:38856e32",N/A,""
50,tr_39SSuCC6jcVuYE3SsK9ujEQ8Wzm,7000000,pending,succeeded,"Pago 50/72 ref:bddeae88",N/A,""
51,tr_39SSuEzh6X1EyZyZ2rBy1RsSsxy,7000000,pending,succeeded,"Pago 51/72 ref:e2031490",N/A,""
52,tr_39SSuOGpIHeKMEEfvV9xzCp4cSQ,7000000,pending,succeeded,"Pago 52/72 ref:ddc3996b",N/A,""
53,tr_39SSuVzBK72iOhBc19EpiTZXOj8,7000000,pending,succeeded,"Pago 53/72 ref:f69343ff",N/A,""
54,tr_39SSug5FOp4yZwFoGMJWinLe2N2,7000000,pending,succeeded,"Pago 54/72 ref:84639565",N/A,""
55,tr_39SSuoRVGFc6NJ8DQH43CD888Y8,7000000,pending,succeeded,"Pago 55/72 ref:5fa760c5",N/A,""
56,tr_39SSvEUw8H2mEvvgkjZYBBudOoP,7000000,pending,succeeded,"Pago 56/72 ref:f7f45096",N/A,""
57,tr_39SSvHGSbnMOg3WkdRJCSBtGQAg,7000000,pending,succeeded,"Pago 57/72 ref:88d0c1dd",N/A,""
58,tr_39SSvSgZwUsnu70QiSO5LHkS2hM,7000000,pending,succeeded,"Pago 58/72 ref:fb08060d",N/A,""
59,tr_39SSvOOCUduTe4bg2ZJaXDmITfS,7000000,pending,succeeded,"Pago 59/72 ref:c619577c",N/A,""
60,tr_39SSvXwKdrNd9FT6PFwqfOsXjIe,7000000,pending,succeeded,"Pago 60/72 ref:56d1e579",N/A,""
61,tr_39SSvfUJ7fi65Us08zb88Xjysxu,7000000,pending,succeeded,"Pago 61/72 ref:050486bb",N/A,""
62,tr_39SSvqfT3Cc41wrUxYnf073X3Bd,7000000,pending,succeeded,"Pago 62/72 ref:684985aa",N/A,""
63,tr_39SSvriEUUa6QWPmULQDJONcdmq,7000000,pending,succeeded,"Pago 63/72 ref:be45ba68",N/A,""
64,tr_39SSw236kJC09H74LtvqkHfOAmt,7000000,pending,succeeded,"Pago 64/72 ref:b80f85d4",N/A,""
65,tr_39SSw7jCnb8eSdwBZZv8jdiihIN,7000000,pending,succeeded,"Pago 65/72 ref:1fbf3f63",N/A,""
66,tr_39SSwFMaE7W7RHHlkYmImnHKJyM,7000000,pending,succeeded,"Pago 66/72 ref:5751338d",N/A,""
67,tr_39SSwR2BVCopbvFjQqjnW7ccr8Q,7000000,pending,succeeded,"Pago 67/72 ref:8df76bad",N/A,""
68,tr_39SSwZUDg9SGQsJkPfuAt0MXwKx,7000000,pending,succeeded,"Pago 68/72 ref:a51b369e",N/A,""
69,tr_39SSwdV41B85qXCqOZmmIKXDFO8,7000000,pending,succeeded,"Pago 69/72 ref:edd10912",N/A,""
70,tr_39SSwdzLRC4qGlIekyuG6VLJZuk,7000000,pending,succeeded,"Pago 70/72 ref:e2cbf4c0",N/A,""
71,tr_39SSwlkHixY9T0KtvEj0pNHgV3Y,7000000,pending,succeeded,"Pago 71/72 ref:1aebb78d",N/A,""
72,tr_39SSwtfkiWTOPRs6S9cCn5rWZN8,3000000,pending,succeeded,"Pago 72/72 ref:9d673a48",N/A,""

SUMMARY
Total Transfers,72
Successful,72
Pending,0
Failed,0
Total Amount Attempted (CLP),500000000
Total Amount Succeeded (CLP),500000000
